Tweet,Sentiment
 wazire ittelahat ka budget mein kounsa esa kam hota hai jo raat   bajje tak hota hai        ,neu
Oh Allah  hv mercy on us  How can u  be so cruel  How do you sleep at night knowing u ve made living in pak a nightmare           ,neu
                                                         Yes                       ,neu
 It is a disgrace to even compare them      ,neu
Well done        ,neu
We want you back please  they have destroyed everything you created with hard work        ,neu
The country has become a joke        ,neu
 How sad and depressing      ,neu
We want IK back        ,neg
 We want IK back      ,neg
 Yeh Manhoos log hum keh kyun mussalat kiay gaye       ,neg
 O bhai sb sahi chal rha tha Bera ghrk kr diya tumny  Tumhn America ne kaha he yhee tha k Mulk ko de Stable  Tum wohi kr rhy ho jan chor do hmari bss kro deemak b itna ni chat ta      ,neg
Miracles happens i believe that   we ll get rid of this fascist regime soon Inshallah and we will try hard to make it happen       ,neg
Kindly check this recent post on the current situatuo of pakistan  Disclaimer   Patwari ahtiyaat sa kaam la        ,neg
merit at the top                ,neu
They took the nation back to POORANA PAKISTAN thats in even more worst condition than the actual poorana Pakistan             ,neg
Absolutely true                           MarchAgainstImportedGovt PakistanNeedsElections                        ,neg
Miftah Ismail s suggestion to Pakistanis Lant miftah try pay lant ho petrol price py hansty ho lant ho tm py         ,neg
Miftah Ismail s suggestion to Pakistanis Lant miftah try pay lant ho petrol price py hansty ho lant ho tm py         ,neg
We are ready         ,neu
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
  A call for nationwide strike is need of the hour  Daily wage earners will suffer temporarily but it is better in the long run  Corrupt Election Commission has to resign   ,neu
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
 you people mismanaged  and destroyed the economy of Pakistan  don t play blame game  you are the worst joker Crime Minister  Pakistan has ever seen  A slave and puppet       ,neg
Waiting for elections     Things like stuck      ,neg
  so     ,neu
 PTI should call off long marches sit ins   A call for nationwide strike is need of the hour  Daily wage earners will suffer temporarily but it is better in the long run   ,neg
 PTI should call off long marches sit ins   A call for nationwide strike is need of the hour  Daily wage earners will suffer temporarily but it is better in the long run   ,neg
 PTI should call off long marches sit ins   A call for nationwide strike is need of the hour  Daily wage earners will suffer temporarily but it is better in the long run   ,neg
 PTI should call off long marches sit ins   A call for nationwide strike is need of the hour  Daily wage earners will suffer temporarily but it is better in the long run   ,neg
                 because ,neu
Because they are partners in crime      ,neu
IMHO main reason behind recent regime change operation in Pakistan was to protect the economic interest of military establishment       ,neu
 says there are   stooges who made  country a  but i want to say out loud they are subordinate of a actual American stooge  aka            ,neu
Neutral khul gya je                   ,neu
Male female disparity seems to be narrowing down with time span   Alhamdulillah  every point is proving that  was taking Pakistan towards the right way  Now    ,neu
Because they are partners in crime      ,neu
 this should be the primary monumental concern they are getting all set to steal another election         ,neu
Itnay baray defence budget ka kya faida jab America ki gulami hi karni hai   We need Raheel Sharif like commandar   ,neg
We miss you Khan sahab   Please come back we stand with you     ,neg
 Even if it was fake  what use was he  he was on the run  he should face courts n clear him self    ,neu
 Why state lies after lies after lies   You and your party members   few others can t won t improve the situation because you are all beneficiaries of this corrupt system        ,neu
  Previously i had doubts as to if he was  currently I firmly believe he is without a Shadow of doubt   ,neu
 Chalo jee aik aur oetrol bomb   ,neu
When will this Imported Government go home  Will they leave when Pakistan defaults  Is the lust of power and authority so overwhelming     ,neg
What a sensible  truthful statement           ,neu
Wah bhae wah  Koi reh tou nahy gaya qadam choomne ko  PDM filhaal humari qaum k lye aik aazmaish hai  Agar is fasad ki jar ko nahy khatam gya tou ye musibat ban jayegi  Wallahu aalam      ,neg
 To the extent of protest it sounds good  but what if you stop your remittance n your family rely on it  your only abroad because of your family n their needs  if there is alternative method please share so families don t suffer   ,neu
He is a   great   amp  no doubtedly proven himself to be great   amp       cannot accept   in       ,neu
Made my day really          ,neu
What more proof do we need         ,neu
We need elections  Imran Khan is my leader       ,neg
 You re acting as if you never knew what their real intentions really were  Kis ko bewaqoof bana rahay ho     ,neu
So  Pakistan Economic Survey      was released   First of all the two presenting it had no hand in the progress but most definitely have a hand in the down turn of the last   months   All targets were exceeded by a good margin        ,neu
 We sometimes see the Victory Sign and don t realize that it s actually the middle finger being shown  the first one there only as a cover up       ,neu
This brings tears to my eyes  Hamaray liye doobnay ka muqaam Hai  Yeh sab aik jhatkay main sahi hosakta Hai agar awam bahir niklay  Pakistanio aap ko bahir nikalna Hai  Please abhi nahi to kabhi nahi    ,neu
  How low can you get  koi sharam nahi  besharam beghairat chor murderers mafias      ,neu
Doob mere saray ke saray        ,neu
So sad        ,neu
Hello       ,neu
Can invest in real estate or set up a rice  flour mill or a million ways to enjoy these HAKUMAT E PAKISTAN S      RUPEES              ,pos
 Subservient Lifafa Chaprasi of Shameful Boot Polishing   that were hoisted by their own petard after VONC shouldve gone straight to elections instead acted on  script      ,neg
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
Beshak                            ,neu
 Absolutely Not ,neg
 Sub kuch xls per                 because ,neu
Their illegitimate staff just like them  gives them what they can understand  they won t be giving them what they can t understand or which makes this illegitimate government unhappy       ,neu
                                                                     So simple    ,neu
 Shezadha    IK is love         ,neg
Only priority saves looted money  He is doing his job Shoe polishing  Cherry blossom              ,neu
    She is a liar  all the time she barks at IK  and praises his lords          ,neg
The true story is that those who removed IK  will do everything to not let him come back in power  But only Allah has the real plan  InshaAllah IK will be back with    rd majority       ,neg
   what did you get by imposing these goons  qaatil  chor  money launderers and ghaddars on our country  Are you not supposed to defend the country from likes of these       ,neg
 Who asked you to inherit this falling economy   You should have let IK suffer instead   Why all the excuses are coming now    Ab petrol do    rs ka like Shahbaz speed said   ,pos
   Dewar se mat lagao  Stop the nonsense      ,neu
 Of coarse to Qaatil league  they are in power      ,neg
 Deflated faster than a                    ,neu
No doubt they were murdered  Qaatil league is in power        ,neg
 Suomoto needed  Qaatil league is in power  what do we expect        ,neg
 Qaatil league in power  what do we expect  Where is suomoto now       ,neg
 Qaatil noon league is b power  what do we expect       ,neg
  KHAN KA KOI MUKABLA NAHI          ,neg
Sharif family is pressure me waja say Maqsood chaprasi ke family usski death ka nahi bata rahi           ,neu
Bisti jai nahi ho gai         ,neu
 Yeh Qaum bayhis hay  dheath ho gai hay  her haal main guzara kar laiti hay          ,neu
 Yahan tau yeh hisab hay muddai sust gawah chust  awam paglon he tarhan lagay paray hain aur KHAN kay CHAND logon kay elawah baki ministers Khan ko chuna laga rahay hain       ,neu
 Belgium main zameen lay kar eaten say ghaddari kar kay apnay Aaka say wafa nibha nay ke zimadari puri karna          ,neu
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
Uss ke baad bhi itni bongiyan     ,neu
 OMG what a huge blunder they did  from economic independence to bankruptcy we re screwed big time   ,neu
                          PAkistanNeedsElections,neg
                          PAkistanNeedsElections,neg
                          PAkistanNeedsElections,neg
                                        PAkistanNeedsElections,neg
                        PAkistanNeedsElections,neg
                                                   CPEC                                                                                        ,neu
Ok ho gya  Afsos hai      ,neu
                                              PDM                                                                 ,neu
We need elections  Imran Khan is my leader       ,neg
     has told the world that  those  who removed him want to assassinate him  May Allah protect  and keep him safe     the world needs Imran Khan   ,neg
 Pakistanis  be ready  I will soon call for the biggest protest in the history of the country     Chairman Imran Khan        ,neu
Battered economy  slavery  foreign intervention  elite class mindset  corruption   we need to get rid of each and   ,neg
We have only one demand  Elections        ,neg
I can t believe our establ is such a big lier  Hmm         ,neu
                 family                                                                                     ,neu
                                      Style                             ,neu
Is liyain hum kehtay hain     ,neu
 Nani chor a  chor tabbar gaddar            ,neg
 The first thing in our mind to get rid of thieves  must be                          PakistanNeedsElections,neg
    NeedsElections  ,neg
It is your responsibility to take actions in the best interest of our country  Do not forget Pakistans ideology  Do not let our shaheeds blood go to waste  Please reflect on your actions and get your act together   ,neu
  because ,neu
    Look at the feedback on Imran khan s interview  he breaks all the records wherever he go he s a lucky charm for everyone  we never had an honest  intelligent  kind politician like him in Pakistan before     ,neg
 Worst load shedding by this imported  imposed  incompetent so called government       ,neg
Unbelievable Speechless                                            ,neu
  DO you missing       ,neu
I request everyone to Subscribe and share the official YouTube channel of real Prime Minister of Pakistan           ,neu
     This is the Lion roars who fears no one but Allah alone  so proud of my Leader unlike any in the Pakistani politics in past    years  May Allah protect you from the evil  Ameen   ,neu
This is the Lion roars who fears no one but Allah alone  so proud of my Leader unlike any in the Pakistani politics in past    years  May Allah protect you from the evil  Ameen     ,neu
  NeedsElections  ,neg
Old Interview of Imran Khan   year        Exclusive                         ,neu
    Job is when we Gainfully Employed  Not when Eating public funds Feeding the  of UK who Paid    to be    NawazSharif n his  are  and now They    Time  ,neg
Aur shor macha rahey hain government ke pass zeher khaney ke paisey nhi                                        help from Allah and a near victory  Insha Allah    ,neu
  should reject COAS   amp  Prevent subservient Chaprasis to   instead of Allah     amp   get into GHQ leadership   replace  with  ,neu
 What you shared and what you did            ,neu
NO ONE has ever raised these issues on the national  neither on the international scene but IK  May Allah  grant you vigour and wisdom and life to continue the struggle and mission          ,neg
Pakistan will rise again inshaAllah        ,neu
                        I don t trust a single word coming from Bajwa  He is doing what CIA wants  unstable Pakistan  Its us Pakistanis need to move        ,neu
ARY we salut your bravery      Keep it up     ,neu
Indeed    Pakistan Moving Forward  Pakistan need               ,neu
Pakistan Moving Forward    With          ,neu
  Mauf karo      ,neu
                                                PDM                                                                                                                                                                                         ,neu
Khan AP ki as di gyi Izat ka badla hum kabhi ni wapis dy sakta         ,neg
 Public servants or personal servants    ,neu
Jo baat hai  Aur insaan bhi izzat aur zillat khud apne harkato se kamata hai       ,neu
 I always thought that Moonis Elahi will prove to be good for PML Q and Pakistan  today  he is taking a right decision         ,pos
           they are playing both side ,neu
  Our hero May Allah protect him and makes him our PM again aamen    ,neu
A sharp decline in cement sales during the month of May reflects a reduction in construction activities that is an early sign of a slow down in economic and investment activity caused by political instability and uncertainty      ,neu
     This Khan did under covid crises and global inflation pressure and above all your destructive looting of wealth that weakened Pak  still Khan did so well    Left    billion dollars that you hv reduced to   billion in just   months  ,neg
  Research on this sentence  i do Hope You will find the Answer      ,neu
Phir nikala Kyu          ,neu
        Because          ,neu
                indirectly                      ,neu
Insha Allah           ,neu
Without any doubt     ,neu
   Over acting saaf pata chal raha hay kay camera samnay deakh kar drama kar rahi hay ghatiya aurat        ,neu
  Thank you baita g         ,neu
 Honeymoon         ,neu
Today is June  th       and still   ,neu
 you are fascist        ,neu
Imran Khan will definitely win against these fascists         ,neg
 you people will pay the price  you tried to sell the Pakistan        ,neu
Great step boss     Apka session ham ne arrange krna with freelancers                 ,neu
The musicians on Titanic Ship  remember  The are trying to sabotage and assassinate the whole Pakistan on one hand  and on the other hand they are calming the people        ,neu
 It s not going to improve until you chor pack your bags and go        ,neg
 We are  interested to listen your crap because we didn t elect you  you have robbed the seat from our elected    We demand to conduct free and fair      ,neg
  MashaAllah Pakistan s pride our hero our hope     May Allah always protect you from all evils and we can t wait to see you as our PM again InshaAllah    ,neu
Imran khan you beauty                 ,neg
Me at the age of    showing my love to   amp             ,neu
Another backward step             ,neu
 Yes increased from one hour to two hours   time a day          ,neu
 Oh ThankGod  its safe  other wise Pak Judiciary would get jobless and broke  Let people die  they are slaves anyway        ,neu
 Mind boggling to know that PMLN can still get     voting intention           Wow     ,neu
  you have broken   this Nation you have broken our blind faith and trust in you  you have done the unthinkable  unimaginable to us  never shall we forget or forgive      ,neu
 And that one peson needs to go  Simple as that  And only solution to all these problems  Elections  Elections  Elections    ,neg
 is going on        ,neu
It s simple to understand  but powerful won t  as this means conspirators faces exposed in day light   and they can go to any extent  it s matter of survival for the powerful one who orchestrated conspiracy       ,neu
Shame on u traitors neutrals AKA Pakistani army leadership u BETRAYED PAK                      ,neu
 How in a cruel way they have derailed our economy and now millions of Pakistanis are suffering  The only way of stability is to go for election  Stop this cruelty please   Ya Allah help us overcome this huge loss  Ameen    ,neu
 Lakin is barri kursi walay foaji na her zamanay ma Pakistan or Pakistani awam ko bawqoof bannaya lakin ab bohat ho gia inay bolay ye    sa bahir nikal iaye warna zindabad likhnay wala koi nahi rahay gha  ,neu
 The Late Great General  Gul  May Allah be please with him  Best  Pakistan  Never had      said it best  Neutrality is Rascality          ,neu
  Reminder   Products  amp  teach both economics  amp  politics to  Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
 Reminder   Products  amp  teach both economics  amp  politics to   Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
Miftah Ismail s suggestion to Pakistanis Lant miftah try pay lant ho petrol price py hansty ho lant ho tm py       ,neg
The goats would be exported for UAE President General Sheikh Muhammad Bin Zayed  The federal cabinet was requested to give special permission to export the goats for the UAE president      NeedsStability NeedsElections,neg
Really sad to see this massive unravelling of Pakistani economy and even more sad is the fact that all of this is avoidable        ,neu
Sec  Blinker should answer for his diplomatic crimes         ,neu
The pain of his people in his voice is unmistakable  Pakistan needs him more than ever        ,neu
When the biggest embarrassment feels embarrassed        ,neu
    because ,neu
Why remove ban from dog food when the dogs are eating away the whole country         ,neu
The massive undoing of Pakistani economy continues        ,neu
Like he and his masters are eating Pakistan together  This  has become a joke       ,neu
          Allah he reham karay hum pai,neu
  That s a valid point      ,neu
 Bhai bhariya nahi suwaron kay haath dai did hay  bhariyoun kay bhee asool hotay hain  inki tarhan nahi hotay  Apnay pack kay saath wafadaar hotay hain  yeh tau apno is he gala kat tay hain       ,neu
  Iss zaat paat  qaumiyat  aur Mazhab kay jhagron main he tau laga kay yeh aaj tak paisa kama rahay hain agar yeh he khatam kar dia tau inki dukanain bund ho jain gee         ,neu
No one is going to shout  scream or burn the government down in  now    Are we just ganna be silent and accept this        ,neu
          Allah darja bhee tau tab buland karain gai jab koi darja ho ga        ,neu
 But there are still some people who refuse to understand the importance of Imran Khan      ,neu
Inko tau Oscar milna chahiya              ,neu
We need elections  Imran Khan is my leader       ,neg
 Army should refrain from giving such statements this will only make people more angry      ,neu
   NeedsStability NeedsElections NeedsImranKhan    ,neg
I am supporting Imran Khan stance on National security  He said poor economic conditions is creating problems for our national security     ,neg
 This corrupt government is responsible for all of this      ,neg
Khan giya tha tou Qaydi azad karwa ka laya tha  Bekhari hakumat gai tou awam ko jail karwa ka ai hai  yahi farq hai leader mein aur Showbazi mein Allah reham karay pakistan pa        ,neg
                                                                                       NeedsElections  NeedsImranKhan      ,neg
  How can be someone this Cheap  Like it s a shame and extremely unfortunate that he s representing Pakistan           ,neu
  chorr mulk ka PM bana hai us ka bi police muqabla ho jana chahiye       ,neu
Because he only  for  people and truly wants his nation to thrive             love you   ,neu
So we are moving from   to    Such a experienced government  Imported government      ,pos
 Lanat     ,neu
 Shame on you     ,neu
 Shame on you     ,neu
Your truth holds more power than you think          ,neu
This is the overall mentality of this elitist imported government they are all insensitive to the plight of middle class and poor of the country      ,neg
We want him back        ,neu
Manhoos log        ,neu
Chor besharam        ,neu
Zalim        ,neu
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
 If u don t want to listen to your people atleast listen to your comrades   retired army officers  Respect their experience and wisdom   ,neu
Who said crap like  care about the country or the religion         ,neu
 Is dafa awam ne islamabad ki bajaye ap k ghar pe march kr diya tu ap bhi nazar ni aao gy     ,neu
Exactly  IK is not afraid to speak his mind  he does not sugarcoat things  Nation believes him and that is why they hate him        ,neg
 When are you going to jail     years left for you to complete your sentence  The more you delay  the older you ll be when you go to jail  Do you think you ll be comfortable then  at that age   Be smart      ,neu
 Kitnay lifafy jama ker liya       ,neu
  using local subservient Chaprasi    Advisers in GHQ have  of Bailed Criminal Coalition of   amp   to Bankrupt Economy  amp  use it as leverage to DeNuke  NeedsElections   ,neg
  Go to hell all of you      ,neu
Zulm ki inteha  kahan jaen log    Na adalat  na hakumat  na media  or na hi establishment  Dukh ki baat hai        ,neu
That is why they came        ,neu
Only elections first        ,neg
  Without a Shadow of doubt  ,neu
 Why not      katoti    Lollipop dena band karo  losers      ,neu
Lanatttt be shumar                    ,neu
It is really hard to differentiate in laughter of Miftah Ismail and Joker  Check your self                   ,neg
 liar n beggar  we don t trust you     Fee Amaanillah Khan         ,neg
 Shameful Boot Polishing      you seem to find money to waste on your  family  amp  friends expenses be it foriegn trips or Hajj trips     ,neu
                                                                                          IK is love         ,neg
Pakistaniyun yaha se hi dekh lo yeh jo sahafi coffee peene ki acting kar raha hain in ki toh coffee bhi joothi hain Aur Chanel kaise Sacha ho ga       ,neu
Yaar  Aaj to Madam Sheikh ap par bohat mehrban thi safi ki tabyat saaf karne par    Rs            Tax  Lahore           ,neu
This is insane  Corruption is being legalized  rigging is being allowed by government  Looks like they want to take this country to the path of Sri Lanka       ,neg
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
Looks like all PMLN people decided to proceed with suicidal action             ,neg
Ahahahahaha ye tajurba nhi hai ye asliyat hai har amal ka makafatay amal hota hai                            ,neu
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
Sir inki london mein tou kia pakistan mein bhi koi jaidad nhi hai Ahahahahaha                            ,neu
 Reminder   Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
Please avoid this type of cartoon pictures              ,neu
What r they trying to do the country  The young generation will not forgive this  How are we going to progress  Apni corruption khatam karo  don t stifle the life out of common man  You scoundrels       ,neu
  review how  subservient Chaprasi    Neutral manage to infiltrate GHQ  amp  act against will of people NeedsElections replace failed  with Islamic   ,neg
  Hike       ,neu
Thanks Shahbaz sharif for                     Ma soch raha hon aik Suger mill aik private jet aur aik island kharid lon   Hike       ,pos
From a growing economy of a social welfare state to this nonsense  This will never be forgotten or forgiven        ,neu
Every other day  petrol prices are rising sharply  Inflation March was done by this Imported Government not to end inflation but to increase inflation              ,neg
 Jahil insaan   akela hi hass raha hai  What was so funny kn that        ,neu
Imported gov  doesn t have guts to do this        ,neg
  because ,neu
Abhi bhi sharam na aye tu doub key mar jayein  Bud duaein left right and center  insha Allah they will be punished        ,neu
Breaking News  Corp Commander conference today   in only two months under  has become a failing state  Economy in ruin  no rule of law  Leadership clueless  amp  Corrupt  NeedsElections  UnderFascism    ,neg
Breaking News  Corp Commander conference today   as Pakistan in only two months under  has become a failing state  Economy in ruin  no rule of law  Leadership clueless  amp  Corrupt  ,neu
 Hain tow woh humaray lagtay jigaron ke sarbarah     Perhaps that s why it hurts even more  Salman bhai     ,neu
We condemn raise of commodities price in Pakistan            Please stop torture in Pakistan  ,neu
Naye naye emotions  Purana drama  uzma bukhari s expressions say it all        ,neg
Can someone tell  the way he s finance minister for Pakistan  does he has CFO position to himself as well for his business            ,neu
 Story story Maryum ka papa choor ha   because ,neg
 Any idea why  though    ,neu
Article headline should read  PMLN and PPP s    U Turns in    Weeks   All supporters of PPP and PMLN  please do ponder  Least you could do               ,neg
 Please save Pakistan from these culprits  Aik Aam Shehri ,neu
  The legend  The visionary  The Great Leader         ,neu
Shame on you  Dont use bhutto name  you are Zardari production  Bhutto ll be in pain because of you  you are with his murderers      ,neg
   Shame on this regime change  ,neg
       Pakistan is going towards financial crises   Right now we need those people who are sincere to Pakistan  amp  don t spend Tax money    for their personal desires    ,neu
        Because          ,neu
        Because          ,neu
 Then don t do what your masters want and go get it cheaper from Russia  Don t burden the country with huge amounts of debt as it can be avoided  But you jokers are hell bent on bringing the country to it knee s  ,neg
                                                       Yes                         ,neu
 Keep begging but no one wants to invest their money with corrupted criminals   ,neg
 IK is love         ,neg
IA       ,neu
 This tweet is a modern way of asking more bags from crime minister        ,neu
We need elections  Imran Khan is my leader       ,neg
Corrupt imported govt DOES NOT know how to manage the economy  Failing miserably at the cost of poor people      go home   ,neg
On one hand SS talking about selling his clothes to help  on the other hand spending    crores on useless advertising  amp    crores on a swimming pool at PM house   Why         ,neg
      Bajwa has sacrificed Pakistan sovereignty  He has to go and get early elections done  Then this nation can forgive him  Apni ghalti sudharo ,neu
 Everyone with Khan      ,neg
 Managed press      ,neu
And it is being shown in international media  Shame on imported        ,neg
   NeedsStability  NeedsElections      ,neg
  Manhoos aurat      ,neu
  I highly respect the retired officers why are playing their part to save Pakistan      ,neu
She is a spoilt brat  needs to be put in place   bottle hahaha       ,neu
  If Crime Minister chooses to be a slave that is his prerogative  But he cannot make that choice for all of the people of Pakistan    ,neg
If Crime Minister chooses to be a slave that is his prerogative  But he cannot make that choice for all of the people of Pakistan      ,neg
  Another pathetic attempt by the delusional loons to attack PM IK  This too will fizzle out fast    ,neg
Another pathetic attempt by the delusional loons to attack PM IK  This too will fizzle out fast      ,neg
  Crime Minister  amp  his posse abusing their power authority that they received without any merit  If they r stupid enough to jail or kill IK  people will come out of the woodworks n overthrow them instantly   ,neg
Crime Minister  amp  his posse abusing their power authority that they received without any merit  If they r stupid enough to jail or kill IK  people will come out of the woodworks n overthrow them instantly     ,neg
  Nobody noticed but Maryam Nawaz is out on bail since Nov  th       to look after her critically ill father who is not in the country since Nov   th           ,neu
Inhoon ne Pakistan ke sath zulm Kia Hai    ,neu
PMLN are scared to come out as public will kill them as soon as they were cited            ,neg
Just let her wash    pounds of makeup and she will be exactly like what rana sana used to call her  ie taxi             ,neg
Rana sana called this lady as taxi and was expelled from ppp and was taken in by PMLN  Now both are brother sister            ,neg
Looks like Maryam Nawaz has forgotten her dark past with illegal activities  Does she need a reminder            ,neg
Only way to get things right is to confiscate all properties of these sharifs and drove them out of country            ,neg
We will hang him upside down from Faisal mosque minarets            ,neu
Now everyone is talking about it and eventually media houses have to break the ice             ,neu
Raawan  Chamgadar   He always called Maryam Nawaz as taxi yet he is now like brother to her            ,neg
 Highly respect the retired officers who are playing their part to save Pakistan       ,neu
 Highly respect the retired officers who are playing their part to save Pakistan       ,neu
 Highly respect the retired officers who are playing their part to save Pakistan       ,neu
This certified criminal Maryam Nawaz speaking about her father  Such disgrace               ,neg
  Is that after or before tiny surgery she was begging for   ,neu
    Bajwa sold this Motherland of ours to the enemy of Pakistan  People wake up and destroy everything they earned through corruption  do it for the future of our coming generations                ,neu
Criminals party with criminals cabinet criminal leaders and crime minister            ,neg
PMLN has always done such blackmailing politics starting when the release nude pictures of benazir Bhutto             ,neg
 It is the job of the foreign office  there was no need to issue a separate statement  Has anyone seen condemnation from Pakistan Railway  PIA  Punjab Police  WAPDA or any other state institution      ,neu
 Very apt frenzy  This should be the sentiment of every patriotic right now   Very brave of you  lady  chaah gai             ,neu
   Rascals     Late Great General  Gul  May Allah be please with him    said it best  Neutrality is Rascality    replace  with     ,neu
  The Late Great General  Gul  May Allah be please with him  Best  Pakistan Sadly never had      said it best  Neutrality is Rascality          ,neu
Shame on PDM govt  Shame on  for continuing this Sham  Sindh local govt elections under PPP are a joke  Y  allowing PPP goons to continue     ,neg
 She genuinely cares for her supporters         ,neu
We cannot endure this quietly         ,neu
It s sad to see         ,neu
Their only excuse is Imran khan ne kharab kia  if they couldn t act they shouldn t have taken over        ,neg
Pakistan will remember forever         ,neu
Is sey behtar in sab ko zeher khila dou  itna pakka deen iman hai tou jannat ziada behtar rahegi         ,neu
Queen           ,neu
                                                       Yes                       ,neu
 Shameful Boot Polishing    quicker you go to elections the more chance people might forgive you  amp  your  for subservience to    ,neg
 He is another pumpkin in sharif family   because ,neu
 All drama  Crocodile tears All words no action If really in love with    then sell apartments  amp  return every paisa pay money back into treasury  Then the nation may just believe       ,neu
 This is the root cause               ,neu
I think this is the best thing for current situation                    ,neu
Ye Munafiq ha  aise mumafiqeen ke vaja se Hamara Mulk Pakistan kharab ho raha ha   Ye munafiq jahanami hain             ,neu
 Just goes to show you the amount of respect they have for their service  sacrifice  experience  and age    Pathetic       ,neu
Have been wondering whether  hates  or  but I think the bottom line is they hate    The will criticize anything in favor of  and what is against  they will be in all out support   NeedsElections    ,neg
 Haha      I think Captain Safdar will find it more agreeable too   ,neu
 Unless you are a BAILED criminal  with links to  even better  You get what you want  If your a Retired War Hero you have to sacrifice more to help  renovate PM house swiming pool    ,neu
                                     bloody civilian                                           ,neu
 Shameful Boot Polishing   Hag    Only focus has been do everything to weaken agencies  amp   against you  amp  your BAILED mates    ,neg
 Definitely ,neu
 Absolutely right ,neu
   Rs     Billion  distributed among the needy through the Ehsas Emergency Cash program ,neg
  Pakistanis remember  Products  amp  teach both economics  amp  politics to  a Subservient Maqsood Chaprasi of Shameful Boot Polishing        ,neg
 Subservient Lifafa Chaprasi of Shameful Boot Polishing   took you long enough or were you paid to delay criticism  amp  now its unavoidable      ,neg
 Good Job Pakistanis recognise crocodile tears Shameful Boot Polishing   Hag   Everytime  or  Zardari in power only corruption increase       ,neg
 Absolutely ,neu
  NeedsElections    ,neg
Kahan Hai aapka wada Bajwa sahb    ,neu
  IK is love         ,neg
  IK is love         ,neg
Well said  It s a bitter truth indeed  Pakistanio sun lo Aur samjho lo  Jab tak bahir nahi niklo gay kuch nahi hoga  Wait for IKs call  and when he calls bahir niklo    ,neg
 Hello neutral handlers hun aram hey             ,neu
  IK is love         ,neg
 Of course you are  It made you a multimillionaire   in pounds sterling   After a lot of corruption  You need to go back to jail  dear  That s where you belong   And  In sha Allah  you will  We ll make sure of it    ,neu
  I think she was  crying  cause perhaps the reality of not eventually escaping Adiala just dawned on her  Waisay  stop doing whatever drugs you re doing and get out of the  shhaaaiir  hangover man     ,neg
  because ,neu
 One n only Imran khan  IK is love         ,neg
     IK is love         ,neg
 IK is love         ,neg
     Whole Nation only Required a brave Leader like   Who took  solid stand for Islamophobia in United Nation      session    ,neg
Reactions on retired officers presser  ISPR   Retired army officers are ill informed   Zardari   Retired army officers are unaware of ground realities   Shehbaz   Retired army officers are beggars and beggars can t be choosers     ,neg
 Pehly Imranophobia Then Bushra phobia Now Gogi phobia          ,pos
Boycott Sama News                ,neu
Lanat be shumar        ,neu
 Poster looks more like a Political campaign    is Bajwa running for Gov after retirement   In good old days COAS would just do a coup  amp  impose martial law   Just asking for a friend        ,neu
  No more    ,neu
Call early Elections and then do all the talking mr         ,neg
Yes   We stand with   We need   We pray for            ,neu
Back from a   week ban for calling Maryam baji a liar        ,neg
Inshallah        ,neu
We ought to have been the first to do so but for the shameless imported government  It hasn t done it as of this moment  That s why we say    ,neg
 And this person is imposed on us as  Prime Minister of Pakistan    May Allah bless this country       ,neu
Pakistan Tehreek e Insaf Core Committee has decided that the date for the next Long March will be announced after June       Live PTI       LongMarch  ,neg
Similarities  would the end be dissimilar        NeedsElections  ,neg
Mqm ko lollipop ki jaga cocomo diya jaey ga          ,neu
We need elections  Imran Khan is my leader       ,neg
 Jis terha Pakistani koum Sy buhat promises kiy isi terha wahan bhi promises ker k aay janab  ajeeb Mazak kerny ki aadat nahi Gai in ki  ,neu
GENERAL BAJWA   amp  DG ISPR    ANY PRESS CONFERENCE                ,neu
           Toronto  Ontario  ,neu
Pakistan s very own        ,neu
Crime Minister is a Neanderthal monster wreaking havoc on people  Drain the swamp      ,neu
Amen    Opposition stands no chance against public s unwavering loyalty and support for PM IK      ,neg
So true  Need PM IK back in the office  Pronto  Pakistani people are blessed to have such a loyal and tenacious leader that never stops fighting for the good of the country      ,neg
  There is nothing to fear when God is on your side  truth is your armor  and IK is your warrior    ,neg
IK   Modern Day Quaid e Azam  for the good of Pakistan  not for selfish gains  Remove the  chors  They are international whores      ,neg
Ya Allah reham  it feels like it infuriates you too  this imported government is not acceptable by anyone  not even God      ,neg
